observer,orientation,reported,rt
1,39,43,1.23593146628627
1,171,168,1.29480952889207
1,84,104,2.40142688896594
1,9,34,1.51859057628826
1,69,70,2.41326134098927
1,139,149,1.67159224599891
1,126,126,1.07116967140973
1,21,24,1.42435314646718
1,73,54,1.61273377582984
1,115,113,1.96589423755722
1,21,26,1.45963321097952
1,142,151,0.682505853626935
1,145,145,0.529698242309678
1,103,121,1.17716784838194
1,31,31,0.63558352954351
1,166,162,1.48319824401915
1,20,22,2.36616050805969
1,56,59,1.78928803894451
1,43,56,1.30655099459545
1,164,148,1.67157731842963
1,169,156,1.1535682953363
1,151,152,0.494374639056332
1,143,138,1.31842587544816
1,171,171,0.741549985432357
1,11,21,1.24776343037956
1,2,8,1.3301971962901
1,127,106,1.49502150036278
1,146,138,1.02406572857217
1,127,132,1.30658333766041
1,23,32,2.47209151097195
1,0,1,2.29556896894428
1,86,75,1.05943722444135
1,2,16,1.11827081532829
1,1,176,1.24770962893308
1,36,36,1.18891180201535
1,52,59,1.0122577107868
1,13,19,1.24782593957207
1,164,164,1.20070178231981
1,3,17,1.13007883311002
1,40,27,3.21374194649979
1,0,177,1.65982310209074
1,60,67,0.847540387625486
1,85,94,1.18886701930751
1,20,23,1.43612508929073
1,57,53,1.74221177430809
1,149,129,1.11827112631727
1,78,60,1.3066589084774
1,9,19,0.823912223408115
1,178,179,1.37723427606034
1,83,56,0.941671147527813
1,2,1,0.906389217070682
1,63,67,0.870991597956163
1,28,58,1.8128829271227
1,60,67,1.08293477243205
1,67,58,1.2242372712135
1,41,61,1.17713519432436
2,150,140,2.02408897798409
2,55,48,1.29486365729895
2,178,171,2.44857142057447
2,62,67,4.6264941128029
2,7,12,2.06002076791526
2,47,49,1.65977751150115
2,139,138,0.988707329444537
2,110,108,1.98943940001323
2,93,100,1.78926412602311
2,161,162,2.66042437079716
2,51,53,4.17914768202013
2,9,16,1.97770636755229
2,145,140,1.97766718280639
2,169,165,3.77881237255247
2,124,125,2.08358510569155
2,90,89,2.56624445621367
2,54,54,2.73111614016568
2,179,2,2.17779798521985
2,127,122,1.84815724403109
2,125,128,1.82459850407565
2,5,7,1.51854231501613
2,110,111,2.82527863930659
2,28,33,1.03586181717083
2,131,130,2.33083960781664
2,33,35,1.36549447261848
2,165,163,1.48323374913741
2,143,147,1.68331075027277
2,65,63,2.3661316912229
2,71,68,1.97762955301084
2,78,75,3.19016263846447
2,169,162,1.23596120958962
2,104,92,1.51849846541961
2,64,67,2.43679764841772
2,129,114,1.71862957882308
2,25,23,2.08362055855673
2,62,58,2.97825837488415
2,29,40,1.55383377644227
2,44,52,0.765079052114743
2,17,20,1.84818927600588
2,27,25,1.42435711360179
2,55,52,1.65981358634656
2,18,15,1.80112062153228
2,125,108,2.27195333158966
2,109,119,3.10785134800187
2,68,67,2.81354653981589
2,149,137,2.48387780952294
2,85,78,2.49565158167979
2,34,23,1.7775351364329
2,37,27,4.85016281883861
2,54,51,3.03716548744421
2,44,36,0.976981449754703
2,79,98,1.71864201842493
2,41,40,3.43750577275273
2,124,133,4.62644435439563
2,1,179,2.295497766003
2,163,156,1.89527969978258
2,155,164,2.62511362798807
2,13,27,0.823987408635048
2,90,90,2.21307389714377
2,171,166,2.01296206512325
2,179,174,1.25951435172408
2,73,70,2.51911484769107
2,36,41,0.812159524210074
2,145,123,1.83634677504881
2,173,171,1.42436364439288
2,113,114,2.24841325103694
2,113,115,2.04828338159382
2,126,122,2.27195799644051
2,151,144,0.941669151995484
2,32,25,1.96587257431656
2,33,39,0.871067258750145
2,56,48,1.45962462879447
2,44,49,1.29486490125896
2,10,10,1.7893353427437
